e0d16f274fbf84050162cd7e765d30bd,"Multistate"
7b7a7e7be331f89822bf6f77e1f57649,"Common Core English Language Arts"
s114372d,"College and Career Readiness Anchor Standards for Reading"
s1143769,"Key Ideas and Details"
s114376d,"Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text."
s114376e,"Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas."
s114376f,"Analyze how and why individuals, events, and ideas develop and interact over the course of a text."
s114376a,"Craft and Structure"
s1143770,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone."
s1143771,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole."
s1143772,"Assess how point of view or purpose shapes the content and style of a text."
s114376b,"Integration of Knowledge and Ideas"
s1143773,"Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words."
s1143774,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence."
s1143775,"Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take."
s114376c,"Range of Reading and Level of Text Complexity"
s1143776,"Read and comprehend complex literary and informational texts independently and proficiently."
s11436a5,"Reading Standards for Literature"
s11436ae,"Key Ideas and Details"
s11436b2,"With prompting and support, ask and answer questions about key details in a text."
s11436b3,"With prompting and support, retell familiar stories, including key details."
s11436b4,"With prompting and support, identify characters, settings, and major events in a story."
s11436b5,"Ask and answer questions about key details in a text."
s11436b6,"Retell stories, including key details, and demonstrate understanding of their central message or lesson."
s11436b7,"Describe characters, settings, and major events in a story, using key details."
s11436b8,"Ask and answer such questions as who, what, where, when, why, and how to demonstrate understanding of key details in a text."
s11436b9,"Recount stories, including fables and folktales from diverse cultures, and determine their central message, lesson, or moral."
s11436ba,"Describe how characters in a story respond to major events and challenges."
s11436bb,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers."
s11436bc,"Recount stories, including fables, folktales, and myths from diverse cultures; determine the central message, lesson, or moral and explain how it is conveyed through key details in the text."
s11436bd,"Describe characters in a story (e.g., their traits, motivations, or feelings) and explain how their actions contribute to the sequence of events."
s11436be,"Refer to details and examples in a text when explaining what the text says explicitly and when drawing inferences from the text."
s11436bf,"Determine a theme of a story, drama, or poem from details in the text; summarize the text."
s11436c0,"Describe in depth a character, setting, or event in a story or drama, drawing on specific details in the text (e.g., a character's thoughts, words, or actions)."
s11436c1,"Quote accurately from a text when explaining what the text says explicitly and when drawing inferences from the text."
s11436c2,"Determine a theme of a story, drama, or poem from details in the text, including how characters in a story or drama respond to challenges or how the speaker in a poem reflects upon a topic; summarize the text."
s11436c3,"Compare and contrast two or more characters, settings, or events in a story or drama, drawing on specific details in the text (e.g., how characters interact)."
s1143777,"Cite textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text."
s1143778,"Determine a theme or central idea of a text and how it is conveyed through particular details; provide a summary of the text distinct from personal opinions or judgments."
s1143779,"Describe how a particular story's or drama's plot unfolds in a series of episodes as well as how the characters respond or change as the plot moves toward a resolution."
s114377a,"Cite several pieces of textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text."
s114377b,"Determine a theme or central idea of a text and analyze its development over the course of the text; provide an objective summary of the text."
s114377c,"Analyze how particular elements of a story or drama interact (e.g., how setting shapes the characters or plot)."
s114377d,"Cite the textual evidence that most strongly supports an analysis of what the text says explicitly as well as inferences drawn from the text."
s114377e,"Determine a theme or central idea of a text and analyze its development over the course of the text, including its relationship to the characters, setting, and plot; provide an objective summary of the text."
s114377f,"Analyze how particular lines of dialogue or incidents in a story or drama propel the action, reveal aspects of a character, or provoke a decision."
s1143780,"Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text."
s1143781,"Determine a theme or central idea of a text and analyze in detail its development over the course of the text, including how it emerges and is shaped and refined by specific details; provide an objective summary of the text."
